epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,2680.04,1.51939,0.69044,0.88688,0.89422,0.65401,0.71684,0.26628,2.25197,0.93891,1.13701,0.0009572,0.0009572,0.0009572
81,2713.33,1.53571,0.71535,0.89473,0.89881,0.67511,0.74358,0.28766,2.11712,0.90832,1.08656,0.000944,0.000944,0.000944
82,2746.55,1.56196,0.7004,0.90354,0.85174,0.67089,0.72531,0.26334,2.20523,0.9598,1.12178,0.0009308,0.0009308,0.0009308
83,2779.96,1.48084,0.68217,0.89329,0.87151,0.66667,0.71831,0.26901,2.27101,0.99302,1.125,0.0009176,0.0009176,0.0009176
84,2813.13,1.51387,0.68992,0.90295,0.87046,0.61181,0.66631,0.23289,2.29738,1.01313,1.12467,0.0009044,0.0009044,0.0009044
85,2846.46,1.47288,0.68278,0.88338,0.85661,0.68354,0.7344,0.29216,2.18374,0.91065,1.1167,0.0008912,0.0008912,0.0008912
86,2879.74,1.44749,0.65848,0.8873,0.88982,0.68154,0.75383,0.2918,2.14501,0.88042,1.09899,0.000878,0.000878,0.000878
87,2913,1.49279,0.69552,0.89007,0.84863,0.67089,0.73672,0.27214,2.19293,0.90965,1.11664,0.0008648,0.0008648,0.0008648
88,2946.42,1.47269,0.66627,0.89306,0.92036,0.68776,0.75257,0.29702,2.1436,0.87406,1.10986,0.0008516,0.0008516,0.0008516
89,2979.77,1.47214,0.66863,0.88444,0.89926,0.67798,0.73738,0.29486,2.13808,0.86733,1.1011,0.0008384,0.0008384,0.0008384
90,3012.96,1.45825,0.68879,0.88485,0.8787,0.70302,0.75935,0.29178,2.23126,0.89594,1.13188,0.0008252,0.0008252,0.0008252
91,3046.15,1.49321,0.66568,0.89555,0.91774,0.63291,0.73242,0.29329,2.17962,0.91045,1.10749,0.000812,0.000812,0.000812
92,3079.33,1.46274,0.65209,0.89165,0.93848,0.64979,0.75169,0.29436,2.16451,0.90204,1.10793,0.0007988,0.0007988,0.0007988
93,3112.67,1.46205,0.6651,0.88949,0.91155,0.6962,0.74709,0.29874,2.15544,0.90198,1.10278,0.0007856,0.0007856,0.0007856
94,3146.08,1.45128,0.66382,0.88775,0.86864,0.69752,0.75438,0.29683,2.18134,0.88771,1.11582,0.0007724,0.0007724,0.0007724
95,3179.37,1.48405,0.71696,0.89454,0.86137,0.66667,0.73912,0.29227,2.19826,0.90257,1.12859,0.0007592,0.0007592,0.0007592
96,3212.62,1.44017,0.66635,0.88903,0.88041,0.65234,0.72215,0.26999,2.18,0.94551,1.10508,0.000746,0.000746,0.000746
97,3245.84,1.43166,0.64755,0.88102,0.85195,0.67511,0.73278,0.29457,2.16847,0.92211,1.1132,0.0007328,0.0007328,0.0007328
98,3278.99,1.41632,0.64758,0.88683,0.91265,0.64135,0.72796,0.28112,2.2213,0.94116,1.13145,0.0007196,0.0007196,0.0007196
99,3312.3,1.43179,0.65394,0.88019,0.90819,0.66782,0.73252,0.28297,2.24881,0.90511,1.1588,0.0007064,0.0007064,0.0007064
100,3345.68,1.41417,0.65353,0.88183,0.89749,0.68776,0.73121,0.29043,2.17512,0.90938,1.11013,0.0006932,0.0006932,0.0006932
101,3378.94,1.39724,0.63629,0.8787,0.88342,0.67145,0.72304,0.28432,2.18655,0.92391,1.1184,0.00068,0.00068,0.00068
102,3411.95,1.42691,0.63249,0.87707,0.88287,0.66786,0.73625,0.29037,2.22179,0.93498,1.13374,0.0006668,0.0006668,0.0006668
103,3445.14,1.39125,0.63043,0.87369,0.87794,0.67932,0.74302,0.30235,2.16388,0.93875,1.10867,0.0006536,0.0006536,0.0006536
104,3478.36,1.39132,0.62535,0.87336,0.87216,0.6621,0.73179,0.28103,2.23226,0.94056,1.13142,0.0006404,0.0006404,0.0006404
105,3511.56,1.39646,0.62904,0.87377,0.91608,0.66245,0.74167,0.29426,2.16221,0.91854,1.10397,0.0006272,0.0006272,0.0006272
106,3544.76,1.35454,0.62076,0.86862,0.912,0.69198,0.75669,0.29175,2.19342,0.91521,1.10699,0.000614,0.000614,0.000614
107,3578.07,1.37589,0.63093,0.87464,0.91817,0.68354,0.75057,0.29663,2.14432,0.90827,1.09713,0.0006008,0.0006008,0.0006008
108,3611.44,1.35853,0.6176,0.87144,0.91375,0.67053,0.75656,0.29384,2.24719,0.91445,1.15206,0.0005876,0.0005876,0.0005876
109,3644.92,1.37296,0.61215,0.87453,0.91063,0.66245,0.74004,0.29353,2.14422,0.92545,1.11017,0.0005744,0.0005744,0.0005744
110,3678.23,1.37532,0.62025,0.87502,0.87624,0.65823,0.71663,0.28695,2.19001,0.93053,1.1232,0.0005612,0.0005612,0.0005612
111,3711.56,1.33789,0.61525,0.87681,0.88089,0.65823,0.72848,0.30042,2.16572,0.88361,1.1228,0.000548,0.000548,0.000548
112,3744.8,1.34618,0.62513,0.86747,0.90841,0.66667,0.75981,0.30821,2.12778,0.90417,1.08878,0.0005348,0.0005348,0.0005348
113,3778.27,1.35355,0.60305,0.86756,0.91881,0.67511,0.74679,0.30257,2.15229,0.91575,1.11116,0.0005216,0.0005216,0.0005216
114,3811.56,1.34844,0.59824,0.88052,0.90513,0.6962,0.77252,0.30218,2.19066,0.92925,1.12639,0.0005084,0.0005084,0.0005084
115,3845.01,1.32667,0.6013,0.86669,0.90452,0.67956,0.73913,0.29718,2.1809,0.88502,1.12766,0.0004952,0.0004952,0.0004952
116,3878.29,1.31282,0.58731,0.86558,0.90164,0.6962,0.76142,0.29791,2.20121,0.903,1.13011,0.000482,0.000482,0.000482
117,3911.53,1.36297,0.60777,0.8729,0.91498,0.6811,0.76188,0.28875,2.20151,0.91472,1.12523,0.0004688,0.0004688,0.0004688
118,3944.77,1.33247,0.60261,0.87527,0.90957,0.68354,0.76126,0.28852,2.19425,0.87965,1.12772,0.0004556,0.0004556,0.0004556
119,3978.02,1.31153,0.58291,0.86517,0.90707,0.65894,0.74445,0.29257,2.17202,0.93967,1.13351,0.0004424,0.0004424,0.0004424
120,4011.24,1.30582,0.58838,0.85855,0.87319,0.66823,0.72475,0.28694,2.20957,0.92154,1.13932,0.0004292,0.0004292,0.0004292
121,4044.4,1.30488,0.57639,0.86319,0.90664,0.69661,0.76815,0.2959,2.18883,0.86467,1.12524,0.000416,0.000416,0.000416
122,4077.56,1.32323,0.59228,0.86933,0.88475,0.68354,0.73766,0.28985,2.1646,0.89065,1.12303,0.0004028,0.0004028,0.0004028
123,4110.75,1.3255,0.58429,0.87434,0.93482,0.67089,0.75288,0.2904,2.18699,0.90622,1.12984,0.0003896,0.0003896,0.0003896
124,4143.99,1.28793,0.5713,0.86394,0.91592,0.68947,0.7616,0.29992,2.2012,0.91121,1.13549,0.0003764,0.0003764,0.0003764
125,4177.19,1.30839,0.58088,0.8732,0.92887,0.66117,0.7504,0.30431,2.18341,0.90223,1.12486,0.0003632,0.0003632,0.0003632
126,4210.34,1.28563,0.58174,0.86448,0.94662,0.66245,0.76799,0.31075,2.19198,0.85985,1.14026,0.00035,0.00035,0.00035
127,4243.53,1.29403,0.57473,0.86583,0.92736,0.68354,0.76967,0.30098,2.20701,0.88176,1.13918,0.0003368,0.0003368,0.0003368
128,4276.67,1.24179,0.56263,0.85352,0.92436,0.67036,0.7605,0.30156,2.17443,0.87288,1.12886,0.0003236,0.0003236,0.0003236
129,4309.77,1.28625,0.56904,0.85893,0.93916,0.65136,0.75659,0.30975,2.15967,0.86552,1.13657,0.0003104,0.0003104,0.0003104
130,4342.92,1.27194,0.55777,0.85679,0.94562,0.6603,0.75716,0.29966,2.18468,0.8727,1.14315,0.0002972,0.0002972,0.0002972
131,4376.14,1.26351,0.57304,0.85577,0.94214,0.65401,0.75132,0.30231,2.20505,0.89047,1.14556,0.000284,0.000284,0.000284
132,4409.34,1.26019,0.56219,0.86014,0.92915,0.65401,0.75875,0.30042,2.1984,0.8978,1.13672,0.0002708,0.0002708,0.0002708
133,4442.57,1.28081,0.57203,0.86036,0.93934,0.66245,0.75157,0.30116,2.19716,0.87023,1.14295,0.0002576,0.0002576,0.0002576
